S. No.,State/UT,2005 - Nursing Staff - Required1 - (R),2005 - Nursing Staff - Sanctioned - (S),2005 - Nursing Staff - In Position - (P),2005 - Nursing Staff - Vacant - (S-P),2005 - Nursing Staff - Shortfall - (R-P),2019 - Nursing Staff - Required1 - (R),2019 - Nursing Staff - Sanctioned - (S),2019 - Nursing Staff - In Position - (P),2019 - Nursing Staff - Vacant - (S-P),2019 - Nursing Staff - Shortfall - (R-P),Note of 2005 - Nursing Staff - Vacant - (S-P),Note of 2005 - Nursing Staff - Shortfall - (R-P),Note of 2019 - Nursing Staff - Vacant - (S-P),Note of - 2019 - Nursing Staff - Shortfall - (R-P)
1,Andhra Pradesh,2718,2309,2053,256,665,2125,3190,2861,329,NA,NA,NA,NA,*
2,Arunachal Pradesh,302,105,105,0,197,584,NA,617,NA,NA,NA,NA,NA,*
3,Assam,1310,NA,NA,NA,NA,2185,NA,3369,NA,NA,NA,NA,NA,*
4,Bihar,2355,NA,NA,NA,NA,2949,NA,1630,NA,1319,NA,NA,NA,NA
5,Chhattisgarh,1329,601,540,61,789,1982,3426,2618,808,NA,NA,NA,NA,*
6,Goa,54,129,119,10,NA,59,129,135,NA,NA,NA,*,*,*
7,Gujarat,2974,2769,1453,1316,1521,4010,5230,4218,1012,NA,NA,NA,NA,*
8,Haryana,912,1530,1160,370,NA,1184,2355,2110,245,NA,NA,*,NA,*
9,Himachal Pradesh,901,1540,1259,281,NA,1195,842,404,438,791,NA,*,NA,NA
10,Jammu & Kashmir,824,244,68,176,756,1210,1844,1513,331,NA,NA,NA,NA,*
11,Jharkhand,890,NA,NA,NA,NA,1495,2799,1190,1609,305,NA,NA,NA,NA
12,Karnataka,3459,3229,3100,129,359,3513,2772,3511,NA,2,NA,NA,*,NA
13,Kerala,1653,2811,2578,233,NA,2437,2133,2427,NA,10,NA,*,*,NA
14,Madhya Pradesh,2795,908,902,6,1893,3362,5658,2816,2842,546,NA,NA,NA,NA
15,Maharashtra,4454,2766,2575,191,1879,4376,2957,2698,259,1678,NA,NA,NA,NA
16,Manipur,184,83,62,21,122,251,484,430,54,NA,NA,NA,NA,*
17,Meghalaya,269,355,263,92,6,314,NA,751,NA,NA,NA,NA,NA,*
18,Mizoram,120,270,122,148,NA,122,NA,205,NA,NA,NA,*,NA,*
19,Nagaland,234,520,520,0,NA,273,191,381,NA,NA,NA,*,*,*
20,Odisha,2899,657,637,20,2262,3927,1477,2568,NA,1359,NA,NA,*,NA
21,Punjab,1296,697,640,57,656,1039,2000,1806,194,NA,NA,NA,NA,*
22,Rajasthan,3995,9891,8425,1466,NA,6079,11312,8889,2423,NA,NA,*,NA,*
23,Sikkim,52,45,45,0,7,43,NA,73,NA,NA,NA,NA,NA,*
24,Tamil Nadu,1625,167,167,0,1458,4117,6839,5888,951,NA,NA,NA,NA,*
25,Telangana,NA,NA,NA,NA,NA,1231,2547,2097,450,NA,NA,NA,NA,*
26,Tripura,143,125,274,NA,NA,234,NA,636,NA,NA,*,*,NA,*
27,Uttarakhand,533,145,129,16,404,726,392,329,63,397,NA,NA,NA,NA
28,Uttar Pradesh,6362,NA,NA,NA,NA,7689,2768,18504,NA,NA,NA,NA,*,*
29,West Bengal,1838,1901,1479,422,359,3344,7062,5811,1251,NA,NA,NA,NA,*
30,A & N Islands,48,108,108,0,NA,50,199,193,6,NA,NA,*,NA,*
31,Chandigarh,7,13,13,0,NA,0,0,0,0,0,NA,*,NA,NA
32,D & N Haveli,13,12,10,2,3,23,51,51,0,NA,NA,NA,NA,*
33,Daman & Diu,10,12,12,0,NA,4,18,11,7,NA,NA,*,NA,*
34,Delhi,8,10,4,6,4,5,0,0,0,5,NA,NA,NA,NA
35,Lakshadweep,25,13,13,0,12,25,54,54,0,NA,NA,NA,NA,*
36,Puducherry,67,96,95,1,NA,38,72,182,NA,NA,NA,*,*,*
All India2/Total,All India2/Total,46658,34061,28930,5280,13352,62200,68801,80976,13272,6412,NA,NA,NA,NA
