S. No.,Population Covered [Range],Number of States/UTs,Name of States/UTs,Average Rural Population covered [mid-year population as on 1st July 2019]
1,Less than 3000,11,Lakshadweep,286
1,Less than 3000,11,Daman & Diu,1478
1,Less than 3000,11,Mizoram,1478
1,Less than 3000,11,A& N Islands,1855
1,Less than 3000,11,Goa,1986
1,Less than 3000,11,Kerala,2140
1,Less than 3000,11,Sikkim,2210
1,Less than 3000,11,Tripura,2670
1,Less than 3000,11,D & N Haveli,2775
1,Less than 3000,11,Arunachal Pradesh,2943
1,Less than 3000,11,Nagaland,2958
2,3000-5000,11,Himachal Pradesh,3144
2,3000-5000,11,Jammu & Kashmir,3150
2,3000-5000,11,Karnataka,3877
2,3000-5000,11,Gujarat,3953
2,3000-5000,11,Uttarakhand,3986
2,3000-5000,11,Chhattisgarh,4105
2,3000-5000,11,Tamil Nadu,4172
2,3000-5000,11,Rajasthan,4245
2,3000-5000,11,Telangana,4329
2,3000-5000,11,Manipur,4351
2,3000-5000,11,Andhra Pradesh,4623
3,5000-7000,8,Odisha,5349
3,5000-7000,8,Meghalaya,5386
3,5000-7000,8,Madhya Pradesh,5769
3,5000-7000,8,Maharashtra,6027
3,5000-7000,8,Punjab,6039
3,5000-7000,8,West Bengal,6070
3,5000-7000,8,Assam,6291
3,5000-7000,8,Haryana,6645
4,7000 and Above,5,Jharkhand,7272
4,7000 and Above,5,Uttar Pradesh,8318
4,7000 and Above,5,Puducherry,8500
4,7000 and Above,5,Bihar,10626
4,7000 and Above,5,Delhi,14333
All India,All India,35,All India,5616
