S.No.,State/UT,District Hospital - Sanctioned,District Hospital - In Position,Sub District/Sub Divisional Hospital - Sanctioned,Sub District/Sub Divisional Hospital - In Position
1,Andhra Pradesh,1671,1348,997,892
2,Arunachal Pradesh,NA,913,N App,N App
3,Assam,NA,2818,NA,851
4,Bihar,NA,1916,NA,288
5,Chhattisgarh,2488,2200,427,245
6,Goa,216,209,429,245
7,Gujarat,1592,1281,754,750
8,Haryana,2567,3004,975,655
9,Himachal Pradesh,686,577,1165,720
10,Jammu & Kashmir,1670,1544,N App,N App
11,Jharkhand,1132,1122,465,102
12,Karnataka,6762,5252,7477,5436
13,Kerala,218,1102,1074,1377
14,Madhya Pradesh,14404,8611,7451,1367
15,Maharashtra,4721,4036,2529,1860
16,Manipur,717,273,47,36
17,Meghalaya,630,1405,N App,N App
18,Mizoram,NA,850,N App,N App
19,Nagaland,475,452,N App,N App
20,Odisha,2354,3350,695,945
21,Punjab,2299,2085,1794,1487
22,Rajasthan,5406,4153,1582,1160
23,Sikkim,NA,469,N App,N App
24,Tamil Nadu,5716,5141,8948,8038
25,Telangana,702,615,1217,849
26,Tripura,276,435,231,451
27,Uttarakhand,753,592,624,487
28,Uttar Pradesh,7104,5704,N App,N App
29,West Bengal,8071,6294,13107,7904
30,Andaman and Nicobar Islands,66,62,N App,N App
31,Chandigarh,NA,2267,NA,100
32,D & N Haveli,279,320,28,73
33,Daman & Diu,185,118,0,0
34,Delhi,16002,13093,492,573
35,Lakshadweep,38,37,18,18
36,Puducherry,1769,1546,N App,N App
All India/Total,All India/Total,90969,85194,52526,36909
