S. No.,State/UT,PHCs - Rural,PHCs - Urban,PHCs - Total,CHCs - Rural,CHCs - Urban,CHCs - Total
1,Andhra Pradesh,1142,259,1401,141,57,198
2,Arunachal Pradesh,122,5,127,57,0,57
3,Assam,948,53,1001,197,2,199
4,Bihar,1932,102,2034,306,0,306
5,Chhattisgarh,769,52,821,166,3,169
6,Goa,23,4,27,6,0,6
7,Gujarat,1477,322,1799,333,27,360
8,Haryana,384,100,484,124,13,137
9,Himachal Pradesh,553,19,572,98,0,98
10,Jharkhand,291,59,350,171,5,176
11,Karnataka,2141,390,2531,182,30,212
12,Kerala,782,158,940,213,16,229
13,Madhya Pradesh,1234,284,1518,295,25,320
14,Maharashtra,1839,651,2490,270,131,401
15,Manipur,86,9,95,17,0,17
16,Meghalaya,121,24,145,28,0,28
17,Mizoram,62,6,68,9,0,9
18,Nagaland,131,7,138,21,0,21
19,Odisha,1288,91,1379,377,7,384
20,Punjab,422,100,522,150,10,160
21,Rajasthan,2130,264,2394,589,68,657
22,Sikkim,24,2,26,2,0,2
23,Tamil Nadu,1422,464,1886,385,15,400
24,Telangana,636,227,863,85,10,95
25,Tripura,108,8,116,22,0,22
26,Uttarakhand,245,42,287,53,19,72
27,Uttar Pradesh,2923,593,3516,753,12,765
28,West Bengal,915,454,1369,348,0,348
29,Andaman and Nicobar Islands,22,5,27,4,0,4
30,Chandigarh,0,42,42,0,2,2
31,Dadra and Nagar Haveli and Daman and Diu,12,2,14,3,1,4
32,Delhi,5,544,549,0,0,0
33,Jammu and Kashmir,891,82,973,63,16,79
34,Ladakh,32,0,32,7,0,7
35,Lakshadweep,4,0,4,3,0,3
36,Puducherry,24,15,39,3,1,4
